"Lake","Species","LengthDataStartYear","LengthDataEndYear","TempChange","TempDataStartYear","TempDataEndYear","EarlyLengthYearsMissingTemp","LateLengthYearsMissingTemp"
"Jewett- 56087700","Cisco",1999,2018,0.0524223794078172,1980,2019,NA,NA
"Johnson- 69069100","Cisco",1993,2016,0.665300181203585,1980,2019,NA,NA
"Johnson- 69069100","Lake Whitefish",1993,2016,0.665300181203585,1980,2019,NA,NA
"Kabekona- 29007500","Cisco",1993,2017,0.562545435668342,1980,2019,NA,NA
"Kabetogama- 69084500","Cisco",2006,2019,0.284128216437062,1980,2019,NA,NA
"Kemo- 16018800","Lake Trout",1997,2018,0.292607529787087,1980,2019,NA,NA
"Kjostad- 69074800","Cisco",1997,2017,0.0573410582315872,1980,2019,NA,NA
"Koronis (main lake)- 73020002","Cisco",1993,2019,0.522702223949372,1980,2019,NA,NA
"Lake Mendota","Cisco",1981,2017,0.447299879084319,1980,2019,NA,NA
"Lake of the Woods- 39000200","Lake Whitefish",2006,2019,0.41681771602239,1980,2019,NA,NA
"Lake of the Woods- 39000200","Cisco",2006,2019,0.41681771602239,1980,2019,NA,NA
"Leech- 11020300","Cisco",2006,2019,0.244454785378267,1980,2019,NA,NA
"Leech- 11020300","Lake Whitefish",2008,2019,0.525660140899065,1980,2019,NA,NA
"Little Boy- 11016700","Cisco",1999,2018,0.140831849640149,1980,2019,NA,NA
"Little Pine- 56014200","Cisco",1999,2017,0.107107612948657,1980,2019,NA,NA
"Little Vermilion- 69060800","Cisco",1996,2016,0.470851773396832,1980,2019,NA,NA
"Lizzie (north portion)- 56076001","Cisco",1998,2019,-0.269109267089258,1980,2019,NA,NA
"Long- 1008900","Cisco",1998,2019,-0.16628227419809,1980,2019,NA,NA
"Long- 11014200","Cisco",1998,2015,-0.397030336924422,1980,2019,NA,NA
"Long- 29016100","Cisco",1993,2019,0.464723233347584,1980,2019,NA,NA
"Long- 3038300","Cisco",2000,2016,0.105764277405001,1980,2019,NA,NA
"Loon- 16044800","Lake Trout",1996,2019,0.306287748755218,1980,2019,NA,NA
"Loon- 16044800","Cisco",1996,2019,0.306287748755218,1980,2019,NA,NA
"Mantrap- 29015100","Cisco",1994,2017,0.410889715752919,1980,2019,NA,NA
"Many Point- 3015800","Cisco",1998,2018,0.100747140892503,1980,2019,NA,NA
"Marion- 56024300","Cisco",1997,2016,0.0243593304315652,1980,2019,NA,NA
"Mary- 21009200","Cisco",1987,2017,0.382801609744986,1980,2019,NA,NA
"Melissa- 3047500","Cisco",2000,2019,-0.131565602162774,1980,2019,NA,NA
"Mille Lacs- 48000200","Cisco",2006,2019,-0.0406249564597685,1980,2019,NA,NA
"Miltona- 21008300","Cisco",1988,2015,0.334498929336419,1980,2019,NA,NA
"Mina- 21010800","Cisco",1997,2014,-0.437547831203778,1980,2019,NA,NA
"Molly Stark- 56030300","Cisco",1996,2015,-0.110508637635361,1980,2019,NA,NA
"Moose- 31072200","Cisco",1996,2018,0.679720414641426,1980,2019,NA,NA
"Mukooda- 69068400","Cisco",1997,2017,0.0609376691875922,1980,2019,NA,NA
"Mule- 11020000","Cisco",1996,2013,0.265291117694319,1980,2019,NA,NA
"Ninth Crow Wing- 29002500","Cisco",1997,2018,0.301961516665071,1980,2019,NA,NA
"North Lida- 56074701","Cisco",1997,2018,0.128786082695634,1980,2019,NA,NA
"North Long- 18037200","Cisco",1999,2015,-0.071323026119417,1980,2019,NA,NA
"North Star- 31065300","Cisco",1996,2019,0.44965995666529,1980,2019,NA,NA
"Ojibway- 38064000","Cisco",1997,2015,0.0741176957159537,1980,2019,NA,NA
"Osakis- 77021500","Cisco",1996,2018,0.496572010717651,1980,2019,NA,NA
"Otter Tail- 56024200","Cisco",1998,2018,-0.174509395396144,1980,2019,NA,NA
"Pallette- 1872100","Cisco",2013,2019,0.118709356543106,1980,2019,NA,NA
"Pelican- 18030800","Cisco",1998,2018,0.104942257191495,1980,2019,NA,NA
"Pelican- 56078600","Cisco",1996,2018,0.305891348141198,1980,2019,NA,NA
"Pickerel- 56047500","Cisco",1997,2016,-0.0713991886408391,1980,2019,NA,NA
"Pike- 16025200","Lake Whitefish",1999,2019,0.0822271448665813,1980,2019,NA,NA
"Pike- 2299900","Cisco",2013,2019,-0.0858228738978489,1980,2019,NA,NA
"Pine Mountain- 11041100","Cisco",1996,2019,0.470183182051903,1980,2019,NA,NA
"Plantagenet- 29015600","Cisco",1999,2017,0.0807312631586066,1980,2019,NA,NA
"Pleasant- 11038300","Cisco",1998,2017,-0.0762029399733478,1980,2019,NA,NA
"Poplar- 16023900","Lake Whitefish",1997,2016,0.237039828226565,1980,2019,NA,NA
"Potato- 29024300","Cisco",1993,2019,0.591712388270957,1980,2019,NA,NA
"Rachel- 21016000","Cisco",1997,2018,0.111352790993844,1980,2019,NA,NA
"Rainy- 69069400","Cisco",2006,2019,0.107658503203508,1980,2019,NA,NA
"Rainy- 69069400","Lake Whitefish",2007,2019,0.216611408640193,1980,2019,NA,NA
"Red (Upper Red)- 4003501","Lake Whitefish",2003,2014,-0.334587453243895,1980,2019,NA,NA
"Round- 18037300","Cisco",1996,2019,0.324977698730856,1980,2019,NA,NA
"Rush- 56014100","Cisco",1998,2019,-0.347818611230945,1980,2019,NA,NA
"Saganaga- 16063300","Cisco",1998,2017,0.146523183191147,1980,2019,NA,NA
"Saganaga- 16063300","Lake Whitefish",1998,2017,0.146523183191147,1980,2019,NA,NA
"Saganaga- 16063300","Lake Trout",1998,2017,0.146523183191147,1980,2019,NA,NA
"Sallie- 3035900","Cisco",2000,2019,0.0222009815247054,1980,2019,NA,NA
"Sand Point- 69061700","Cisco",1993,2019,0.681984033899213,1980,2019,NA,NA
"Sand Point- 69061700","Lake Whitefish",1993,2018,0.836150581547335,1980,2019,NA,NA
"Sand- 31082600","Cisco",1996,2015,0.352266669359897,1980,2019,NA,NA
"Sauk- 77015000","Cisco",1999,2019,-0.108980342667218,1980,2019,NA,NA
"Sea Gull- 16062900","Lake Whitefish",2003,2018,0.325786072371551,1980,2019,NA,NA
"Sea Gull- 16062900","Lake Trout",2003,2018,0.325786072371551,1980,2019,NA,NA
"Second Crow Wing- 29008500","Cisco",1994,2014,0.0257228552476093,1980,2019,NA,NA
"Sevenmile- 1605800","Cisco",2014,2019,-0.187539313344017,1980,2019,NA,NA
"Seventh Crow Wing- 29009100","Cisco",1997,2019,0.153505730921105,1980,2019,NA,NA
"Shagawa- 69006900","Cisco",1999,2017,0.108175509805607,1980,2019,NA,NA
"Silver Island- 38021900","Lake Whitefish",1998,2016,-0.0423207877002647,1980,2019,NA,NA
"Sixth Crow Wing- 29009300","Cisco",1994,2019,0.401709700241248,1980,2019,NA,NA
"Snowbank- 38052900","Cisco",1996,2017,0.565088371460759,1980,2019,NA,NA
"Snowbank- 38052900","Lake Trout",1996,2017,0.565088371460759,1980,2019,NA,NA
"South Farm- 38077800","Cisco",1999,2017,0.220601053110764,1980,2019,NA,NA
"South Twin- 44001400","Cisco",1997,2019,0.160917155515494,1980,2019,NA,NA
"Sparkling Lake","Cisco",1981,1990,-0.0619337726961688,1980,2019,NA,NA
"Split Hand- 31035300","Cisco",1998,2018,-0.0404417861105768,1980,2019,NA,NA
"Straight- 3001000","Cisco",1995,2015,0.0917267751895707,1980,2019,NA,NA
"Sullivan- 49001600","Cisco",1996,2009,0.161689557587138,1980,2019,NA,NA
"Swan- 31006700","Cisco",2000,2018,0.154210616036826,1980,2019,NA,NA
"Ten Mile- 11041300","Lake Whitefish",1995,2018,0.452078700468086,1980,2019,NA,NA
"Tenth Crow Wing- 29004500","Cisco",1995,2018,0.599305059067275,1980,2019,NA,NA
"Third Crow Wing- 29007700","Cisco",1994,2019,0.472146430373691,1980,2019,NA,NA
"Tom- 16001900","Lake Whitefish",1996,2016,0.866488638501369,1980,2019,NA,NA
"Tomahawk- 1542700","Cisco",2013,2018,0.780326192905478,1980,2019,NA,NA
"Trout Lake","Lake Trout",1985,2019,0.448840067761093,1980,2019,NA,NA
"Trout Lake","Lake Whitefish",1982,2019,0.438868686004995,1980,2019,NA,NA
"Trout Lake","Cisco",1981,2019,0.40538532720063,1980,2019,NA,NA
"Trout- 16004900","Lake Trout",1996,2017,0.849122423268723,1980,2019,NA,NA
"Trout- 31041000","Cisco",1996,2017,0.39642192491212,1980,2019,NA,NA
"Trout- 31041000","Lake Trout",1996,2017,0.39642192491212,1980,2019,NA,NA
"Trout- 69049800","Cisco",1998,2018,-0.196137706080576,1980,2019,NA,NA
"Trout- 69049800","Lake Trout",1998,2018,-0.196137706080576,1980,2019,NA,NA
"Trude- 2295200","Cisco",2013,2019,0.190207756013553,1980,2019,NA,NA
"Tulaby- 44000300","Cisco",1996,2016,0.331239405519977,1980,2019,NA,NA
"Turtle River- 4011100","Cisco",1998,2016,-0.112366902491134,1980,2019,NA,NA
"Turtle- 4015900","Cisco",1998,2016,-0.136114113684027,1980,2019,NA,NA
"Two Inlets- 3001700","Cisco",1996,2016,0.360378897800032,1980,2019,NA,NA
"Two Sisters- 1588200","Cisco",2014,2018,0.715262515310179,1980,2019,NA,NA
"Upper Gull- 11021800","Cisco",1996,2019,0.397796108688321,1980,2019,NA,NA
"Upper South Long- 18009600","Cisco",1999,2019,0.0440643415054046,1980,2019,NA,NA
"Upper Trelipe- 11010500","Cisco",1998,2019,-0.172695248716475,1980,2019,NA,NA
"Vermilion- 69037800","Cisco",2006,2019,0.159978201230336,1980,2019,NA,NA
"Wabana- 31039200","Cisco",2000,2019,0.0239525874365105,1980,2019,NA,NA
"Wabedo- 11017100","Cisco",1996,2018,0.49654814610913,1980,2019,NA,NA
"Washburn- 11005900","Cisco",1998,2017,0.111967334377941,1980,2019,NA,NA
"White Iron- 69000400","Cisco",1997,2017,0.194220427956012,1980,2019,NA,NA
"Whitefish- 18031000","Lake Whitefish",2000,2018,0.26366137946067,1980,2019,NA,NA
"Whitefish- 18031000","Cisco",2000,2018,0.26366137946067,1980,2019,NA,NA
"Winnibigoshish- 11014700","Cisco",1997,2019,0.201331237691437,1980,2019,NA,NA
"Woman- 11020100","Cisco",1996,2018,0.601421439118977,1980,2019,NA,NA
"Erie","Lake Whitefish",1985,2016,1.24056690002176,1995,2021,10,NA
"Huron","Lake Whitefish",1970,2019,1.5216165736726,1995,2021,25,NA
"Huron","Cisco",1975,2019,1.36945491630534,1995,2021,20,NA
"Lake Constance","Coregonus wartmanni",1954,2020,2.45957406526527,1964,2019,10,1
"Michigan","Cisco",1999,2019,0.0846476022293471,1995,2021,NA,NA
"Michigan","Lake Whitefish",1974,2019,1.12053216431446,1995,2021,21,NA
"Michigan","Round Whitefish",2013,2019,0.7174794520546,1995,2021,NA,NA
"Ontario","Lake Whitefish",1992,2020,1.29564933216379,1995,2021,3,NA
"Ontario","Cisco",1992,2020,1.29564933216379,1995,2021,3,NA
"Superior","Lake Whitefish",1971,2019,1.24149340784375,1995,2021,24,NA
"Superior","Lake Trout",1971,2019,1.24149340784375,1995,2021,24,NA
"Superior","Cisco",1972,2019,1.21615680768367,1995,2021,23,NA
